sm util, unet time, post time
10,2.7500125408172607,0.04816303253173828
10,2.9856707096099853,0.05259151458740234
10,3.4367726325988768,0.06929616928100586
10,3.8236398696899414,0.08663721084594726
10,4.452226018905639,0.10884289741516114
10,5.127885818481445,0.12371683120727539
10,5.534334707260132,0.14591822624206544
10,6.098131942749023,0.15579442977905272
10,6.854007959365845,0.17579784393310546
10,7.240837669372558,0.20332083702087403
10,8.114786672592164,0.219158935546875
10,8.515808534622192,0.23529629707336425
