512 num, 768 num, 1024 num, avg unet time
8,1,1,11.017787456512451
0,3,0,5.6769232749938965
11,0,1,11.087431859970092
1,4,0,7.788830041885376
2,0,3,10.70184679031372
0,1,0,3.134981632232666
11,1,1,12.569008302688598
3,0,3,11.607083082199097
5,2,0,7.405131053924561
8,2,1,12.013594055175782
1,0,4,13.031517362594604
9,0,2,12.404394054412842
6,0,2,10.415981912612915
2,1,1,6.84715690612793
1,3,0,6.3203808784484865
8,0,1,9.035350036621093
1,1,2,9.131891870498658
4,0,3,11.849244403839112
0,3,2,10.919370746612548
3,6,0,12.035655212402343
7,4,0,11.431097364425659
0,4,0,7.043610906600952
2,3,2,12.313876914978028
8,0,1,9.163775730133057
1,0,3,10.240564775466918
0,0,3,9.050124359130859
3,1,0,4.972179651260376
2,5,1,12.70016565322876
12,0,1,11.605823993682861
2,2,1,8.312241077423096
4,0,1,6.474657440185547
4,0,2,9.023303508758545
8,4,0,11.896729278564454
8,1,1,10.39361662864685
6,1,2,11.743507719039917
4,6,0,12.520030689239501
3,0,2,8.472087621688843
0,7,0,11.367097616195679
8,1,0,8.016808938980102
8,1,0,7.919173240661621
2,0,3,10.819708442687988
2,6,0,11.42287220954895
5,5,0,11.761238241195679
9,3,0,11.430329418182373
3,0,0,3.5217088222503663
3,4,1,11.817261552810669
3,3,0,7.5440497398376465
8,0,1,9.129496335983276
5,2,0,7.429217529296875
8,0,1,9.37306547164917
1,0,2,7.703591585159302
2,1,1,7.126051807403565
1,0,4,12.715118932724
3,4,0,9.073350763320922
12,1,0,10.469530153274537
6,2,1,10.909786891937255
1,1,2,8.84516887664795
0,1,3,10.69493293762207
7,1,2,12.691919231414795
2,5,0,9.821635246276855
7,2,0,8.940686464309692
6,3,1,12.312192821502686
3,5,0,10.499557256698608
4,1,0,5.40930757522583
8,3,0,10.690965414047241
9,2,0,10.00646185874939
3,6,0,11.820528888702393
1,3,2,11.918046903610229
2,1,2,9.514198350906373
2,5,1,12.751465225219727
2,0,3,11.023210287094116
0,4,2,12.49944543838501
10,1,1,12.239617538452148
1,0,1,4.844932794570923
7,1,1,10.199115800857545
3,1,1,7.6934796333312985
1,2,0,5.160413646697998
2,0,3,10.928148365020752
1,2,1,7.903750801086426
9,0,1,9.938027143478394
9,1,1,11.373806381225586
1,1,2,9.116554164886475
9,2,1,12.884945726394653
1,6,0,10.636399078369141
4,6,0,12.352621364593507
9,3,0,11.064778518676757
7,2,0,8.828344345092773
0,0,4,11.635664987564088
5,5,0,11.384497690200806
6,2,0,7.835737323760986
1,3,2,11.587899684906006
4,2,0,6.8044486999511715
3,4,1,11.862416076660157
2,4,1,11.244270515441894
0,2,0,4.32501482963562
1,3,2,11.293055009841918
1,1,2,8.904927492141724
9,3,0,11.191275453567505
1,0,4,12.78497610092163
0,3,1,8.340333652496337
10,1,0,9.169114303588866
2,2,1,8.320156145095826
0,0,2,6.844636726379394
4,1,1,8.560200595855713
11,0,0,8.132685041427612
3,0,2,9.067884683609009
0,0,2,6.825544118881226
9,1,1,11.421158361434937
1,5,0,9.167814588546753
1,1,1,6.360372495651245
8,1,0,7.99908127784729
4,2,2,12.118588399887084
2,5,1,12.389398050308227
11,0,1,10.901327276229859
8,0,0,6.209500789642334
4,5,0,11.362174272537231
8,2,1,20.737366819381712
4,3,1,16.24049882888794
5,3,1,21.137130880355834
10,0,1,15.806486797332763
1,3,2,11.944024658203125
6,3,1,12.366433143615723
0,4,0,7.325504636764526
9,0,1,9.815749835968017
11,2,0,11.501072597503661
12,2,0,12.171624279022216
3,0,0,3.3662835597991942
3,2,2,11.671750211715699
5,1,1,8.738031435012818
5,1,1,8.94814920425415
0,0,2,6.591114139556884
2,0,1,5.432079792022705
0,2,0,4.436912870407104
2,3,0,6.983270072937012
2,5,0,9.72847785949707
10,1,1,12.436861324310303
8,1,0,8.226242780685425
12,0,0,8.935086059570313
7,2,1,11.720662164688111
10,1,0,9.100391483306884
12,0,0,8.85513777732849
8,1,1,11.192488622665405
3,5,0,10.441496753692627
5,1,1,8.767642831802368
5,2,0,7.4803835391998295
3,0,3,11.166498708724976
1,1,2,9.192748212814331
0,1,0,3.0211767196655273
2,0,0,2.835295391082764
11,0,0,7.94677038192749
7,2,0,8.566966676712036
8,2,0,9.420905351638794
6,0,1,7.991938734054566
7,2,1,11.235488367080688
4,1,0,5.502957534790039
9,0,1,9.955482721328735
5,3,0,9.029441690444946
1,3,2,11.742339086532592
1,6,0,10.33031415939331
4,0,0,3.8515735626220704
1,6,0,10.339681148529053
2,0,3,10.945824003219604
0,0,4,11.942890119552612
2,2,1,8.39357523918152
1,3,1,9.144837808609008
1,1,2,8.920866870880127
0,4,1,9.73860788345337
4,0,1,6.943746948242188
2,2,1,8.36929144859314
11,1,1,12.308446168899536
4,1,0,5.500339317321777
6,1,2,12.228747701644897
1,0,2,7.346806812286377
3,1,1,7.651817369461059
3,0,3,11.510710382461548
0,1,3,10.767594051361083
12,1,0,10.186698961257935
4,2,1,10.01399850845337
3,0,1,6.021474313735962
8,1,1,10.795729637145996
7,1,0,7.1783842086792
8,1,1,10.492149496078492
4,6,0,12.317717361450196
1,4,0,7.75567512512207
2,5,0,9.718894243240356
10,0,0,7.411438798904419
7,1,1,10.068356609344482
0,2,3,12.524879693984985
1,4,1,10.691610431671142
6,0,2,10.384336853027344
4,2,2,12.289292097091675
8,2,0,9.19520835876465
5,0,1,7.6072030544281
11,1,0,9.613972806930542
0,2,2,9.536811065673827
10,1,0,9.253352546691895
10,0,1,10.315948820114135
0,2,2,9.768458223342895
0,1,3,10.902674055099487
11,1,0,9.906330823898315
3,2,1,9.03312668800354
11,1,1,12.313786792755128
0,0,1,4.3320653438568115
10,0,1,10.641588830947876
4,5,0,10.977017879486084
0,2,0,4.58148889541626
4,5,0,11.426777791976928
5,0,1,7.241744804382324
5,3,0,8.831208181381225
1,0,1,4.953328609466553
4,2,0,6.8913658618927
2,1,3,12.15655426979065
1,5,0,9.280774354934692
0,0,1,4.186329650878906
4,4,1,12.244407129287719
10,0,1,10.426449251174926
